well_id,region,production_barrels,operational_cost,downtime_hours
1623,North,900,37175,17
1766,North,2604,85687,12
1302,South,3550,104983,36
1918,South,2733,175360,26
1206,West,2945,66629,33
1228,North,3335,136779,10
1852,West,3013,198872,0
1909,East,2273,188439,12
1577,North,1596,88513,29
1074,North,1428,102762,4
1434,East,2451,180094,17
1102,East,2473,152731,13
1421,West,2054,77941,12
1703,West,3278,189002,31
1763,East,4921,63473,6
1737,West,1494,36040,7
1805,East,1112,89806,6
1305,North,3093,164358,15
1097,North,1095,132076,42
1849,South,1341,75916,30
1797,North,4939,168672,26
1334,East,1358,153363,32
1858,West,944,164195,28
1434,South,2288,23811,7
1446,West,4817,51276,32
1993,East,3954,197691,40
1307,North,4452,101049,18
1248,South,1530,177786,20
1165,East,1795,163266,40
1480,South,2563,93062,20
1983,South,1947,170434,24
1334,North,2545,74499,41
1541,East,3350,66281,22
1758,West,4324,64852,10
1105,South,2568,198908,32
1562,South,4261,24595,19
1080,West,2775,115930,24
1132,East,2308,166474,25
1796,South,1811,112676,39
1899,South,4555,193795,11
1137,South,2951,197836,31
1183,East,1589,175983,32
1400,East,2172,39405,9
1329,West,4175,78122,3
1784,East,4854,148909,14
1507,East,2503,23447,5
1851,North,4698,30662,26
1983,West,1624,78282,4
1068,South,1721,155971,4
1545,East,3360,48582,17
1773,South,2773,87471,27
1052,South,3490,143513,34
1449,North,3010,193285,21
1204,East,736,127578,33
1125,West,1644,95871,3
1746,East,3753,103205,17
1042,South,4282,94081,40
1751,West,1266,125783,25
1970,East,3181,103805,41
1882,South,3165,144698,21
1110,South,2259,188902,46
1760,North,3991,158138,32
1662,North,3315,30712,42
1182,North,4013,101527,13
1847,South,995,149453,30
1094,East,3680,146888,9
1970,North,4430,107185,23
1373,East,2572,119851,20
1911,North,837,181878,47
1519,West,4449,32210,7
1899,West,3608,56972,31
1359,North,2317,54136,30
1899,South,636,195369,33
1695,North,3055,136445,22
1280,North,4915,35945,24
1194,South,1415,193549,6
1863,West,4038,99180,18
1194,East,2600,90453,6
1666,North,3407,105404,46
1092,South,3414,164296,7
1671,North,2482,23052,13
1945,South,4370,47272,0
1060,East,4067,61150,12
1633,East,1498,168388,2
1050,West,2647,158312,27
1402,South,895,117095,37
1788,South,4098,88774,14
1004,West,1438,63175,35
1465,West,2136,151637,2
1603,South,3224,36375,3
1681,West,3010,45710,4
1828,East,2149,166246,25
1533,North,4190,127026,24
1404,East,3935,47597,9
1837,West,3701,94289,7
1512,South,4679,189469,11
1644,South,4866,184141,2
1232,East,2791,105687,26
1523,South,4983,138968,22
1345,West,713,60274,39
1045,East,3737,189269,32
1545,South,4362,68634,13
1944,North,558,50041,22
1077,North,3430,158320,30
1729,West,3471,105365,12
1812,South,2027,153275,11
1922,West,622,71986,34
1072,East,4219,45370,17
1793,North,1936,55247,20
1248,East,1662,144403,44
1046,South,3800,139544,46
1120,West,3845,151506,41
1213,West,2986,82982,0
1238,West,1061,85180,37
1055,East,4481,128534,40
1349,North,2237,185546,41
1106,East,1404,44644,46
1830,East,4054,58493,8
1047,South,4990,103824,22
1572,South,2226,155031,13
1336,South,3423,67289,10
1025,North,4031,162215,6
1803,North,4406,190665,30
1256,South,1434,190187,23
1007,South,574,173612,25
1624,North,794,55481,29
1866,West,520,97097,33
1252,North,3742,42578,45
1691,North,1538,163859,37
1718,North,1609,92048,4
1302,South,4271,161668,4
1638,West,871,171002,18
1055,North,1674,199022,37
1725,South,1664,115737,27
1525,East,1592,38687,25
1473,East,1783,142540,41
1027,North,2511,187061,22
1982,East,1345,50183,45
1077,West,2491,40758,29
1215,East,1020,152154,2
1385,East,4966,116368,27
1364,West,4696,65891,32
1665,North,742,196882,41
1525,North,3300,66901,2
1698,West,3396,123912,4
1311,West,3102,91062,18
1882,West,2773,172635,41
1006,East,2041,92008,47
1002,West,3265,153847,0
1622,South,2614,166900,37
1918,East,4991,37974,8
1749,North,3583,173460,4
1362,North,2357,100591,45
1750,North,1269,38615,41
1507,East,1922,188958,33
1273,South,906,42838,36
1505,West,3472,60728,32
1805,West,2372,136249,24
1738,North,3194,98000,41
1882,North,2769,72798,28
1014,East,1681,170694,24
1191,South,1939,164608,8
1984,West,3553,156772,2
1630,East,3833,189911,14
1484,West,3397,30248,3
1027,North,3403,65291,44
1713,West,728,102629,37
1038,South,4459,145612,19
1952,South,2393,37177,22
1272,North,1813,170555,36
1230,South,1570,63815,46
1085,South,1474,58533,7
1473,East,2238,20026,36
1125,West,3785,124997,44
1811,North,1257,80611,32
1536,North,3595,107242,32
1144,North,820,175732,6
1524,North,2821,124913,21
1211,North,1055,62082,4
1024,South,1886,167330,45
1579,East,3547,123613,14
1393,North,2927,118315,20
1066,East,2504,109690,24
1232,East,2430,115220,16
1108,South,2663,35389,6
1145,North,4367,111860,18
1110,South,2926,178757,6
1227,North,4293,178267,39
1110,South,3013,41797,44
1469,East,4303,131975,23
1033,North,2827,117169,10
1622,West,1117,86332,40
1775,East,2665,158260,0
1935,West,3808,43696,31
1368,East,1492,22024,39
1747,South,1877,187057,43
1594,North,4881,157656,1
1553,East,3674,110998,14
1424,South,1805,178116,20
1612,North,3578,25285,23
1517,North,3186,27370,16
1691,East,3483,37903,46
1281,North,3023,183571,8
1319,East,4082,117904,34
1737,North,1985,42995,19
1442,West,2600,125160,18
1951,South,4215,186272,17
1314,West,2501,108377,19
1876,East,1887,164638,29
1965,West,3683,57822,39
1740,East,1530,127412,0
1376,North,2265,71222,23
1288,North,1720,114088,23
1436,East,4306,110450,46
1661,West,2914,129366,18
1276,North,4845,130078,29
1709,South,2118,83853,25
1581,North,1763,143794,41
1502,South,1371,173405,43
1623,West,1334,167030,37
1515,South,3322,72442,28
1349,South,1418,172026,12
1842,South,2224,29675,3
1445,South,2913,109590,44
1829,North,1813,128570,16
1349,South,4998,51661,32
1606,North,2605,84289,4
1663,South,3068,37184,27
1822,East,1638,67963,23
1136,West,709,176894,16
1758,South,1564,25267,38
1898,East,2720,82814,47
1242,South,733,56025,39
1542,South,1292,141246,43
1039,South,3610,97605,45
1228,East,2666,152053,10
1547,West,834,63436,11
1919,East,1859,169544,12
1222,West,1714,170408,7
1005,South,4919,176659,0
1321,North,783,97192,8
1467,South,712,140591,27
1731,West,2158,104511,1
1074,East,4578,29665,13
1003,South,1917,178169,12
1846,East,2886,111277,47
1645,East,2294,72474,1
1117,East,604,176257,3
1880,South,4393,95911,11
1605,East,4345,112643,47
1503,East,4190,50484,9
1997,South,3792,121165,2
1946,East,878,196682,3
1573,South,3793,45835,5
1440,West,3829,116453,22
1193,West,3938,73790,4
1846,West,724,29643,2
1714,East,1237,95846,9
1391,North,735,170023,42
1025,North,4778,166305,18
1434,East,1211,33200,13
1172,North,2388,72275,20
1299,South,1759,109001,42
1644,North,1248,172363,27
1325,East,4486,62448,20
1409,East,4051,181652,35
1117,South,1009,111685,23
1835,West,2323,172418,37
1786,East,3441,30619,16
1723,South,4732,125454,21
1224,North,2634,21766,18
1531,North,2277,23549,44
1112,South,1722,169765,9
1139,South,4167,127938,10
1558,East,2277,147673,37
1000,North,1804,68328,1
1089,South,1201,45301,32
1653,North,3489,64763,42
1319,South,651,171837,30
1549,North,1825,64787,47
1804,West,1801,140675,34
1893,East,4222,27425,36
1138,North,2211,32857,46
1510,West,1306,112999,46
1867,North,4830,173516,35
1844,North,3222,61457,22
1258,West,1825,151776,35
1672,North,4633,25452,39
1901,North,1659,131153,38
1689,East,3369,58862,25
1009,West,1742,38300,24
1260,West,847,160638,16
1918,South,2331,158573,14
1649,North,2069,21845,36
1171,East,4435,139342,44
1897,North,2418,59181,3
1012,North,3732,54404,21
1167,South,4258,42564,16
1641,North,2855,117898,21
1595,East,1897,38227,16
1320,East,3280,115259,13
1318,South,2324,144451,13
1612,North,2991,198547,16
1328,East,4560,37215,7
1784,North,904,150577,33
1776,North,2221,91074,25
1970,North,3325,172771,44
1910,South,4345,128621,29
1919,North,4710,163526,21
1549,East,3692,199289,15
1418,North,564,126759,29
1605,East,1799,148471,15
1094,North,1915,41711,37
1816,East,4093,166131,23
1580,East,1468,68398,35
1317,North,868,21286,34
1955,North,732,185369,5
1235,East,2742,128304,3
1945,West,3583,124959,17
1333,South,1420,177557,5
1884,West,1188,79967,25
1375,West,4772,117803,36
1458,North,1969,149745,26
1136,South,4759,74583,40
1929,West,4122,144077,10
1587,North,2600,131359,37
1994,West,2765,47086,15
1546,West,4289,167556,18
1512,North,1323,124132,42
1295,North,3931,79263,14
1319,North,4651,169747,25
1917,South,4713,140155,40
1571,West,1297,80664,30
1831,North,1279,175752,18
1348,East,3350,168149,23
1839,West,3392,140474,8
1778,East,2393,189246,22
1872,South,3806,96968,3
1228,North,3402,154563,9
1269,East,4218,197198,8
1827,South,521,154464,18
1797,North,2000,87804,14
1290,East,1342,58400,33
1724,East,2260,187623,41
1164,South,4141,48088,18
1004,North,691,176537,20
1850,North,895,199227,33
1378,East,4826,107893,16
1077,East,1373,25969,17
1409,East,3121,28981,16
1573,North,4835,172104,1
1131,South,589,74091,0
1600,South,2779,127154,42
1748,North,956,44408,9
1041,West,2780,175313,36
1088,South,4949,67940,47
1401,East,1504,23657,4
1295,West,844,41230,11
1839,West,3211,169752,35
1294,South,2962,104731,30
1615,West,1616,193412,37
1525,West,1125,187022,8
1799,South,4879,158939,43
1690,South,2479,24329,25
1636,West,4494,55865,14
1421,East,2178,57869,15
1864,North,722,140185,12
1022,West,1243,103984,24
1574,West,962,145172,29
1142,East,2068,121069,6
1992,West,3847,109711,3
1664,West,2236,86252,42
1144,North,4539,99386,39
1224,North,4451,138728,37
1502,North,1164,152783,29
1961,South,1856,45801,9
1973,South,1514,110709,29
1820,North,2632,73270,38
1615,North,3168,75535,6
1103,South,1554,36220,35
1946,East,2264,33392,34
1038,West,4958,153318,23
1946,West,3369,40010,38
1197,North,1912,146951,35
1645,East,1167,88358,44
1578,South,3870,168306,19
1390,North,1894,116190,31
1178,East,598,135795,38
1967,East,4570,142790,25
1553,East,921,145223,25
1447,South,4150,95205,35
1499,South,4657,172856,42
1014,West,1632,180744,34
1622,West,2202,21082,42
1668,East,4120,162220,34
1288,East,3690,178566,11
1477,South,1097,95093,32
1230,West,891,71952,35
1922,East,1575,56719,13
1419,West,3150,68737,32
1156,West,2884,127271,45
1549,East,1309,190608,44
1440,South,3809,165111,44
1096,East,4238,87839,23
1996,East,1659,67931,14
1410,West,2031,59925,30
1950,East,3182,199969,16
1288,South,753,107745,11
1253,East,4048,146298,21
1195,South,3685,113709,22
1597,South,1731,62287,25
1833,West,2923,184084,13
1521,North,4075,127252,11
1516,North,4761,192855,3
1634,West,2073,129323,45
1841,East,3408,197563,12
1864,West,2125,32803,17
1117,South,4498,138819,42
1805,North,4383,113361,27
1908,West,4015,33698,37
1158,East,3903,185632,40
1814,West,2458,35376,43
1227,North,4509,33117,18
1876,West,3235,189028,45
1215,West,4991,68786,46
1947,North,3674,133005,42
1695,South,901,86480,37
1014,South,1474,182767,45
1156,North,723,152583,2
1647,West,735,73233,18
1260,North,3998,131022,19
1156,South,4711,173574,24
1046,East,3734,112529,10
1323,West,725,197561,16
1843,South,2777,120919,34
1684,West,4777,103533,13
1129,North,1841,183021,38
1410,East,4536,89407,18
1094,North,709,93809,2
1626,East,4227,37229,33
1754,West,4428,178457,40
1931,West,3303,62176,21
1291,North,1609,114825,37
1793,East,2526,154332,26
1810,East,893,117555,20
1282,West,1343,23145,40
1068,North,2024,117289,30
1659,East,1103,158874,26
1010,West,1081,22263,36
1253,South,2439,177985,1
1841,North,632,77788,46
1871,South,3338,159227,8
1549,North,3885,151994,18
1133,West,4270,171744,41
1711,East,2768,189598,35
1022,East,1475,65344,9
1814,East,2313,142819,39
1345,North,3763,170086,44
1301,West,2043,93352,38
1362,South,3335,60324,6
1395,West,3238,114075,3
1217,South,1857,189770,14
1140,North,4634,97169,11
1615,North,1816,43384,47
1957,South,661,23512,5
1209,South,2409,157138,8
1984,South,1627,182572,34
1992,West,4370,143775,7
1622,South,2158,98743,6
1615,North,3625,105642,3
1827,North,2463,149587,12
1682,East,2789,99858,18
1459,South,1466,74800,6
1355,West,1389,120364,9
1323,West,3561,22387,24
1132,West,4129,152871,43
1887,East,3689,139095,34
1804,North,3248,55548,24
1839,West,2166,184967,28
1126,North,3566,110450,11
1105,East,1941,125669,46
1603,South,1567,100171,39
1798,South,4723,191451,11
1377,South,3423,65414,5
1904,West,4753,93071,9
1050,South,4356,132808,1
1028,West,1326,98591,44
1461,East,4485,24297,24
1295,East,2592,129513,6
1296,West,3679,148668,39
1725,North,4401,106479,22
1778,South,2862,118752,47
1406,South,2724,156080,10
1768,South,2226,135481,35
1813,West,2506,167892,47
1612,East,766,173325,22
1404,South,1337,180274,42
1345,East,1186,180308,6
1621,South,3861,87156,26
1419,South,856,80263,12
1181,West,4315,138996,16
1982,North,1371,119252,31
1824,West,2473,138632,25
1000,South,2310,94855,21
1830,South,4918,36575,12
1949,North,3141,32204,11
1566,East,2728,31952,6
1370,East,3891,103323,0
1935,South,4678,184944,32
1910,East,2850,180448,13
1660,South,4857,162712,46
1430,North,3239,46437,42
1968,North,3230,147129,40
1308,South,1818,107681,16
1136,North,2035,27903,3
1201,West,2943,46863,38
1435,West,2272,63381,0
1312,North,3709,48548,40
1116,South,1377,31467,44
1665,South,3370,77954,23
1936,North,3700,43901,33
1802,East,4644,43301,33
1574,West,4247,144686,23
1243,East,3336,105180,14
1536,South,792,89903,16
1601,South,2151,123955,12
1074,East,4906,167276,6
1805,North,1036,39755,8
1385,East,3186,79817,43
1902,East,733,22093,34
1209,West,3152,116319,22
1474,West,2874,42940,46
1417,East,2772,195112,38
1346,East,1466,188394,22
1528,South,1389,148714,25
1639,West,4363,111544,0
1938,West,3900,104437,13
1954,South,534,112969,31
1875,North,4023,127001,47
1762,West,2263,107725,9
1178,West,3791,135784,0
1181,North,2988,130675,4
1663,West,3200,114266,2
1024,West,2058,29236,26
1966,North,2776,92597,21
1179,North,4506,154974,17
1709,East,4939,119656,15
1500,South,1603,54364,1
1855,South,1919,127071,46
1160,North,1978,114410,12
1176,North,4414,171168,44
1284,West,4242,163092,15
1062,East,3456,78473,7
1661,East,1882,64153,42
1665,North,3074,192349,7
1155,West,3884,58502,9
1881,West,2069,35675,32
1468,South,2394,175437,30
1048,South,2743,138384,11
1966,West,2366,98229,8
1848,South,528,109049,36
1083,North,1205,109157,8
1360,West,1520,125711,47
1688,South,2563,130090,17
1147,East,1946,113321,29
1629,West,4164,46465,31
1341,West,3487,52286,39
1475,East,4102,74795,22
1062,North,4185,191250,10
1700,East,3868,128139,19
1359,West,4081,123845,18
1560,North,3262,69986,35
1326,South,4537,194273,25
1768,South,1072,194387,9
1735,South,4588,95396,23
1140,West,1114,75178,12
1989,East,4550,30745,45
1214,North,825,99637,33
1434,South,4240,156100,28
1890,North,858,68566,35
1951,West,4277,63722,6
1722,South,2871,106623,29
1317,West,2221,131074,16
1031,East,1849,94974,47
1669,West,4196,104084,12
1284,West,4396,190951,23
1304,East,4760,175839,30
1428,North,2096,137353,26
1476,East,2127,124417,20
1285,East,3002,88099,43
1143,West,4308,199729,0
1423,North,692,159570,14
1018,South,3174,45107,2
1017,East,4345,179865,5
1768,North,3077,153768,13
1589,East,591,73839,37
1370,East,4734,109241,32
1174,East,980,43397,37
1193,East,3416,27704,7
1501,West,4935,36442,25
1987,North,1575,149576,14
1112,North,3013,29765,13
1113,North,1298,135828,47
1221,East,4449,30002,19
1677,West,1104,31390,47
1946,East,3479,195508,18
1830,East,1097,26641,32
1643,North,2032,184781,35
1896,East,1013,131119,23
1263,South,2377,190381,9
1924,East,4472,35624,33
1054,South,4343,29966,35
1870,East,2199,185261,46
1642,West,1529,91301,35
1799,West,1216,135123,15
1777,North,4586,168295,14
1457,East,1165,98183,17
1978,South,2708,24959,6
1877,South,1579,178329,46
1161,East,727,70802,21
1379,South,648,144125,31
1992,West,1569,143795,42
1086,South,1863,47215,18
1054,North,2255,75046,39
1475,West,1019,114593,0
1799,West,4044,185166,34
1177,West,2822,189741,4
1390,East,1602,187198,11
1348,East,1097,99036,11
1007,West,3773,129864,20
1832,East,4549,140333,18
1312,South,3105,36772,8
1758,East,2688,199658,42
1834,East,1088,71943,47
1983,West,4972,88868,35
1982,North,1907,69855,41
1442,North,3890,173290,46
1766,North,3940,121124,31
1327,South,2129,77205,34
1053,East,1494,156031,30
1760,North,2559,196206,31
1238,West,3486,45874,36
1228,North,900,151007,31
1578,North,3355,21301,42
1050,East,2724,78017,36
1608,East,3912,63319,38
1603,East,556,42455,37
1263,South,2375,155184,29
1417,South,4798,77033,31
1802,North,4268,183217,44
1095,East,4797,126924,1
1087,North,1853,52735,10
1077,West,2910,92781,19
1287,West,4811,146031,36
1119,East,3102,148305,8
1813,East,3434,128049,37
1490,West,522,172783,18
1911,East,2702,25630,39
1451,South,1709,85488,6
1499,South,2796,154278,4
1164,East,1248,76289,46
1181,West,1304,38953,41
1468,North,633,120932,23
1909,East,4916,161140,47
1734,East,2937,98930,40
1822,North,933,21067,6
1943,East,4171,70658,10
1977,North,4236,72165,8
1006,West,4539,100781,29
1329,South,2598,160931,40
1774,West,3417,49164,2
1672,South,752,124946,21
1150,North,1629,147580,39
1084,South,3764,119251,19
1146,West,801,40773,31
1623,South,2477,53939,47
1380,North,3263,199671,6
1914,South,4505,157186,6
1547,East,3741,118475,19
1284,West,3557,32818,24
1699,East,1050,29335,44
1081,North,2087,75008,34
1513,South,2322,91745,43
1896,East,3717,194220,23
1814,East,3996,23577,39
1708,South,4909,93916,12
1915,South,4779,155148,47
1522,West,1212,183997,38
1745,East,2675,79314,3
1385,East,4572,61205,11
1706,North,4349,162167,16
1470,West,2933,133583,0
1118,North,3801,104715,16
1395,East,770,76680,1
1531,North,2294,48400,5
1260,East,2962,127345,43
1804,East,4793,107110,10
1933,North,3894,140120,42
1255,North,1579,48562,17
1733,South,3378,191735,39
1904,South,1103,38510,24
1225,South,2085,81608,38
1052,East,3557,72182,27
1939,North,4485,46883,45
1866,West,1895,186916,15
1499,East,4188,169800,11
1505,West,1099,31094,40
1853,North,1013,153479,28
1363,East,1566,32644,22
1279,West,3386,105834,20
1592,West,3153,128982,15
1713,South,1588,72748,47
1157,South,4885,79021,40
1631,South,3014,82651,44
1058,East,4469,56807,25
1726,North,3784,185144,36
1127,North,2696,189470,21
1735,South,4683,48669,9
1720,South,1289,181233,6
1881,South,3975,158354,8
1114,West,3653,46539,24
1208,South,2164,154379,45
1525,West,1809,37745,14
1520,North,1364,190505,12
1551,East,4363,54555,41
1961,East,3863,152145,45
1236,East,4024,52683,25
1280,East,4286,45741,20
1358,West,523,173358,22
1200,West,3503,23599,43
1757,South,810,148513,27
1277,West,1731,47293,37
1234,South,4288,35389,11
1493,South,3211,32318,23
1003,East,921,199947,12
1665,West,2273,23055,39
1441,West,4068,141164,47
1028,South,1446,102579,1
1108,South,1686,157392,38
1609,North,2334,124817,11
1726,North,2064,24642,38
1804,South,2447,29321,13
1074,North,1808,99968,29
1837,North,3486,122770,40
1145,South,886,177116,42
1127,South,1661,173043,47
1852,West,3758,129762,18
1041,South,4433,134183,30
1355,South,3347,137159,42
1040,East,1939,45727,42
1933,West,3942,173631,24
1033,West,4980,93820,3
1016,West,555,129062,12
1676,East,3824,47476,35
1152,South,605,162063,41
1997,West,3701,140355,36
1377,West,1169,90047,2
1587,North,4971,161868,15
1598,West,1242,23881,25
1628,South,1466,35668,39
1873,South,807,185384,38
1341,North,2638,48106,18
1980,West,3964,35729,45
1026,West,609,149354,14
1824,West,4132,90320,31
1286,East,4935,74913,20
1645,West,2415,79402,0
1730,South,4763,141649,5
1167,South,1056,123930,26
1609,East,604,188354,22
1267,East,2547,189290,46
1748,West,645,169022,30
1820,North,3263,79739,11
1454,East,1373,24507,20
1905,East,798,197375,1
1684,West,3738,122552,4
1400,West,1145,99059,8
1921,East,3578,175739,19
1980,North,3011,155064,45
1475,East,1283,150514,17
1701,West,870,107680,21
1633,West,986,45530,7
1557,East,2537,35305,33
1575,North,3696,129097,8
1129,East,1860,72044,6
1821,East,4787,150436,29
1362,West,2761,109363,17
1704,North,3121,78817,26
1818,South,1456,123038,15
1692,North,880,66666,20
1291,East,4149,177245,4
1370,East,738,38909,28
1793,East,1605,182079,46
1028,North,1886,164057,36
1148,West,3052,42525,42
1778,East,2749,132293,21
1295,East,2027,121046,13
1010,North,2167,57403,18
1511,South,4632,188265,34
1675,South,3191,154902,23
1112,West,4172,151605,41
1186,West,2496,172018,5
1806,East,1925,43504,2
1743,North,3312,130551,33
1226,East,3747,75715,44
1309,West,3092,179327,1
1097,North,1990,56855,14
1054,North,1724,61721,36
1622,West,3087,131597,14
1663,South,3564,192922,31
1757,South,1332,120659,20
1405,North,2940,54723,16
1068,East,2146,186811,33
1311,South,940,25539,31
1288,East,2029,136360,46
1761,South,3465,121140,22
1547,South,2867,172383,34
1750,East,3786,89180,36
1147,West,4831,136985,42
1466,South,1804,105981,40
1738,South,3534,55934,36
1243,East,4188,160583,32
1490,West,4473,151255,24
1848,South,1685,29475,45
1957,South,3762,79577,36
1506,West,2607,46008,39
1364,South,2340,199013,20
1481,West,4820,62756,45
1200,West,3247,100730,47
1153,East,4764,178984,37
1449,North,3633,102702,39
1500,West,3920,66840,33
1072,East,1965,58623,18
1712,North,4609,83303,26
1295,South,2711,66062,8
1016,North,3304,76690,4
1640,West,2043,118980,4
1216,West,2189,174706,24
1060,West,2071,155162,25
1938,West,3779,65266,18
1615,West,4041,181080,29
1041,East,3523,107643,35
1024,West,1318,78704,47
1038,East,1624,137374,47
1802,South,1629,28382,15
1130,West,2202,198846,6
1497,West,2501,109609,17
1228,North,4378,66698,20
1107,South,4872,21110,30
1171,West,2306,135266,0
1434,West,3447,151458,2
1477,South,3709,67801,30
1101,East,2652,134012,24
1865,West,4705,116085,7
1523,North,1044,51566,0
1274,West,2901,183593,6
1612,North,2864,43798,6
1043,North,1789,164637,7
1954,West,4265,43027,18
1816,West,2375,25631,16
1956,North,4928,76878,10
1016,South,1282,65206,46
1329,South,1039,123473,40
1568,West,3282,78334,10
1822,East,3168,92323,37
1496,South,4437,73619,40
1814,West,3456,123536,1
1011,South,4222,177947,3
1317,East,4367,175586,27
1591,West,2333,173652,32
1215,East,2646,155360,10
1338,West,2670,26734,2
1775,East,3891,59008,39
1990,South,2116,69349,4
1660,South,1416,158886,20
1080,East,3256,194226,21
1726,East,2436,158923,36
1484,East,4542,144478,10
1373,West,3591,152672,43
1975,South,1468,76614,21
1709,West,3864,23692,40
1199,South,3703,146745,12
1536,North,1389,40373,2
1465,West,1292,132413,12
1088,South,3958,34507,27
1267,South,1481,82931,10
1654,West,4031,95499,10
1570,West,4029,134362,20
1921,South,1301,117449,20
1488,West,542,116819,6
1876,East,3849,59423,16
1537,West,2277,123612,47
1046,West,3701,106120,13
1287,West,849,137409,32
1777,South,2067,110918,10
1015,East,1629,86600,12
1710,North,3459,61848,0
1400,North,4287,26820,33
1918,East,2280,28512,8
1793,East,1083,187797,12
1980,East,3877,71534,36
1085,South,3901,145191,29
1249,North,3685,190848,40
1390,East,2694,80945,44
1781,South,1662,103420,36
1334,North,798,198527,46
1628,West,3847,103488,6
1518,South,2439,29711,13
1136,North,1288,106009,47
1882,South,3389,29597,5
1687,North,1877,80067,33
1839,North,2449,68022,15
1497,West,3772,132673,36
1826,South,1377,169854,35
1726,East,4242,71782,45
1476,West,2077,130716,5
1593,West,3639,138030,7
1222,North,2992,92036,23
1989,East,3255,55342,2
1371,South,2403,105745,3
1934,East,1882,172049,31
1994,East,4740,77396,0
1401,East,2822,134836,33
1442,East,3056,126998,44
1489,East,2361,70021,8
1614,North,2366,150672,11
1272,North,4547,138559,9
1525,West,3675,86836,9
1158,North,1598,178147,43
1151,West,2234,181874,47
1994,West,3916,97017,22
1619,South,1180,122689,5
1187,East,2570,100291,23
1812,North,2229,110450,23
1097,South,2691,186664,20
1130,North,1167,76006,41
1804,West,2112,177341,30
1170,North,1180,124268,46
1935,East,1472,70138,40
1985,West,3346,82398,29
1182,West,2632,170946,33
1982,South,2963,77228,17
1363,East,3029,82670,11
1038,West,3003,145613,34
1526,East,4892,122071,6
1887,North,3683,130572,40
1496,East,4533,158997,39
1515,West,3667,23107,24
1348,South,3497,106388,5
1981,West,3727,115719,0
1920,East,2652,138018,45
1396,East,2228,47617,15
1721,West,2524,94258,47
1160,East,829,70075,3
1015,North,2986,146998,28
1492,West,1655,42631,37
1425,South,2390,143120,46
1107,West,4977,117158,27
1893,North,2685,158955,21
1449,North,2817,170780,7
1310,North,4121,66221,31
1738,North,4991,168269,32
1169,North,3011,172206,12
1545,South,949,125922,26
1413,East,1854,53550,17
1250,North,1793,34642,17
1758,North,2965,171511,12
1780,West,3602,126093,21
1140,South,2349,175655,13
1273,South,3675,113885,10
1415,East,4781,99538,38
1607,South,3699,82014,21
1738,West,1733,39523,35
1890,West,1937,130285,16
1038,East,3852,125879,31
1813,West,4530,110629,13
1028,North,752,96830,41
1957,North,518,65538,28
1476,West,3259,67310,5
1317,East,722,161980,3
1244,South,502,135266,10
1747,East,1759,32699,44
1696,South,4823,86912,39
1271,West,3068,165327,9
1439,West,2385,99183,27
1747,North,1799,80282,10
1238,South,2838,78249,34
1376,East,1576,58176,14
1265,West,4258,28163,7
1925,East,3681,74210,19
1920,North,1447,143844,20
1358,South,4238,124587,0
1339,South,3231,91979,28
1388,West,4507,98860,23
1576,South,1369,172215,29
1989,West,593,24920,39
1688,North,3487,102911,34
1002,South,2275,57996,32
1428,West,2760,162820,19
1141,East,935,114071,15
1375,West,4800,67252,8
1669,South,3644,142734,30
1323,North,4087,157522,16
1145,South,576,72756,30
1957,South,1315,70235,47
1292,West,1267,110546,22
1664,East,4185,151092,5
1431,South,605,145802,29
1704,East,4416,128421,6
1948,West,3373,160736,47
1974,East,3846,86635,39
1584,West,3648,43225,41
1398,North,3648,126885,45
1816,East,1965,105333,10
1888,East,3087,191297,33
1343,North,744,30807,11
1963,East,3125,26402,44
1139,North,4349,24521,46
1186,South,1905,134693,26
1804,West,1481,28382,11
1060,North,4308,130996,12
1996,East,641,35065,7
1938,North,1392,105470,15
1379,East,2899,34425,28
1709,South,3460,33111,34
1806,North,2699,191871,28
1439,South,1969,73257,30
1318,West,3200,143990,12
1301,East,3505,147813,11
1343,East,3874,101046,1
1010,South,1155,57851,32
1061,West,3268,28816,7
1844,North,542,22175,40
1225,North,2811,31341,39
1152,East,2160,83908,40
1710,South,2724,176726,31
1563,South,2610,79696,37
1771,North,1457,103115,27
1570,West,1060,50194,14
1583,West,1830,185909,22
1659,North,1812,104358,23
1860,North,2321,192648,12
1574,South,3502,122548,20
1309,West,3903,170799,11
1884,North,3151,54579,12
1242,North,2314,116554,38
1492,East,2241,167627,22
1365,North,4308,73294,45
1329,North,3377,69777,42
1106,West,3770,156978,27
1225,South,4583,60751,13
1824,West,1245,128750,16
1217,South,1057,94180,23
1936,East,3801,51644,33
1752,North,1441,53521,47
1505,East,4523,31564,21
1258,South,2796,125155,9
1887,West,1439,178371,7
1773,West,2110,199030,20
1516,East,2225,164493,36
1772,South,1484,108747,6
1053,East,2087,31202,25
1046,East,4521,129407,12
1726,North,1836,193257,15
1688,East,3637,154757,29
1520,North,1161,110197,30
1098,North,532,62637,4
1019,West,3914,169438,31
1889,North,1656,44276,15
1752,North,3626,100946,46
1572,West,560,199311,8
1890,East,4428,95214,21
1489,South,2043,175647,43
1418,South,771,192473,39
1689,South,4576,61230,44
1849,East,3888,144086,36
1061,North,3252,149526,13
1144,South,3209,174093,15
1215,East,1654,160521,42
1002,North,4905,166729,19
1159,West,4353,55059,43
1738,South,2245,21532,14
1997,North,3932,122666,43
